,Spanish,German,Japanese,Korean
_PathSegments,Segmentos de ruta,Pfadsegmente,パス セグメント,경로 세그먼트
m_start_PathAudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_PathALTimeOffset,<size=13><b>Desplazamiento del tiempo </b></size>,<size=13><b>Zeitversatz</b></size>,<size=13><b>タイム オフセット</b></size>,<size=13><b>시간 오프셋</b></size>
_AudioLinkPathTimeOffsetBandR,Banda (Canal R),Band R,バンドR,밴드 R
_AudioLinkPathTimeOffsetR,Desplazamiento (Canal R),Versatz R,オフセット R,오프셋 R
_AudioLinkPathTimeOffsetBandG,Banda (Canal G),Band g,バンド G,밴드 G
_AudioLinkPathTimeOffsetG,Desplazamiento (Canal G),Versatz G,オフセット G,오프셋 G
_AudioLinkPathTimeOffsetBandB,Banda (Canal B),B und B,バンド B,밴드 B
_AudioLinkPathTimeOffsetB,Desplazamiento (Canal B),Versatz B,オフセット B,오프셋 B
_AudioLinkPathTimeOffsetBandA,Banda (Canal A),Band A,バンドA,밴드 A
_AudioLinkPathTimeOffsetA,Desplazamiento (Canal A),Offset A,オフセット A,오프셋 A
_PathALEmissionOffset,<size=13><b>Desplazamiento de la emisión </b></size>,<size=13><b>Emissionsausgleich</b></size>,<size=13><b>発光オフセット</b></size>,<size=13><b>방출 오프셋</b></size>
_AudioLinkPathEmissionAddBandR,Banda (Canal R),Band R,バンドR,밴드 R
_AudioLinkPathEmissionAddR,Desplazamiento (Canal R),Versatz R,オフセット R,오프셋 R
_AudioLinkPathEmissionAddBandG,Banda (Canal G),Band g,バンド G,밴드 G
_AudioLinkPathEmissionAddG,Desplazamiento (Canal G),Versatz G,オフセット G,오프셋 G
_AudioLinkPathEmissionAddBandB,Banda (Canal B),B und B,バンド B,밴드 B
_AudioLinkPathEmissionAddB,Desplazamiento (Canal B),Versatz B,オフセット B,오프셋 B
_AudioLinkPathEmissionAddBandA,Banda (Canal A),Band A,バンドA,밴드 A
_AudioLinkPathEmissionAddA,Desplazamiento (Canal A),Offset A,オフセット A,오프셋 A
_PathALWidthOffset,<size=13><b>Desplazamiento de la longitud </b></size>,<size=13><b>Breitenversatz</b></size>,<size=13><b>幅オフセット</b></size>,<size=13><b>너비 오프셋</b></size>
_AudioLinkPathWidthOffsetBandR,Banda (Canal R),Band R,バンドR,밴드 R
_AudioLinkPathWidthOffsetR,Desplazamiento (Canal R),Versatz R,オフセット R,오프셋 R
_AudioLinkPathWidthOffsetBandG,Banda (Canal G),Band g,バンド G,밴드 G
_AudioLinkPathWidthOffsetG,Desplazamiento (Canal G),Versatz G,オフセット G,오프셋 G
_AudioLinkPathWidthOffsetBandB,Banda (Canal B),B und B,バンド B,밴드 B
_AudioLinkPathWidthOffsetB,Desplazamiento (Canal B),Versatz B,オフセット B,오프셋 B
_AudioLinkPathWidthOffsetBandA,Banda (Canal A),Band A,バンドA,밴드 A
_AudioLinkPathWidthOffsetA,Desplazamiento (Canal A),Offset A,オフセット A,오프셋 A
_PathALHistory,<size=13><b>Historial del trazado </b></size>,<size=13><b> Verlauf</b></size>,<size=13><b>推移</b></size>,<size=13><b>기록</b></size>
_PathALHistoryBandR,Banda (Canal R),R-Band,Rバンド,R 밴드
_PathALHistoryR,Historial (Canal R),R-Geschichte,Rの推移,R 기록
_PathALHistoryBandG,Banda (Canal G),G-Band,Gバンド,G 밴드
_PathALHistoryG,Historial (Canal G),G Geschichte,Gの推移,G 기록
_PathALHistoryBandB,Banda (Canal B),B-Band,Bバンド,B 밴드
_PathALHistoryB,Historial (Canal B),B Geschichte,Bの推移,B 기록
_PathALHistoryBandA,Banda (Canal A),Eine Band,バンド,A 밴드
_PathALHistoryA,Historial (Canal A),Eine Geschichte,推移,A 기록
_PathALChrono,<size=13><b>Tiempo de cronotensidad</b></size>,<size=13><b> Chrono-Zeit</b></size>,<size=13><b>クロノタイム</b></size>,<size=13><b>크로노 시간</b></size>
_PathChronoBandR,Banda (Canal R),R-Band,Rバンド,R 밴드
_PathChronoTypeR,Tipo de movimiento (Canal R),R Bewegungstyp,Rモーションタイプ,R 모션 타입
_PathChronoSpeedR,Velocidad (Canal R),R-Geschwindigkeit,Rスピード,R 속도
_PathChronoBandG,Banda (Canal G),G-Band,Gバンド,G 밴드
_PathChronoTypeG,Tipo de movimiento (Canal G),G Bewegungstyp,Gモーションタイプ,G 모션 타입
_PathChronoSpeedG,Velocidad (Canal G),G-Geschwindigkeit,Gスピード,G 속도
_PathChronoBandB,Banda (Canal B),B-Band,Bバンド,B 밴드
_PathChronoTypeB,Tipo de movimiento (Canal B),B Bewegungstyp,ロモーションタイプ,B 모션 타입
_PathChronoSpeedB,Velocidad (Canal B),B-Geschwindigkeit,Bスピード,B 속도
_PathChronoBandA,Banda (Canal A),Eine Band,バンド,A 밴드
_PathChronoTypeA,Tipo de movimiento (Canal A),Ein Bewegungstyp,モーションタイプ,A 모션 타입
_PathChronoSpeedA,Velocidad (Canal A),Eine Geschwindigkeit,速度,A 속도
_PathALAutoCorrelator,<size=13><b>Autocorrelación </b></size>,<size=13><b>Autokorrelator</b></size>,<size=13><b>自己比較</b></size>,<size=13><b>자동 상관기</b></size>
_PathALAutoCorrelatorR,Tipo (Canal R),R-Typ,Rタイプ,R 유형
_PathALAutoCorrelatorG,Tipo (Canal G),G-Typ,Gタイプ,G 유형
_PathALAutoCorrelatorB,Tipo (Canal B),B-Typ,Bタイプ,B 유형
_PathALAutoCorrelatorA,Tipo (Canal A),Eine Art,タイプ,A 유형
_PathALCCR,Banda de acordes de color R,R Farbakkordstreifen,R カラー コード ストリップ,R 색상 코드 스트립
_PathALCCG,Banda de acordes de color G,G Farbiger Akkordstreifen,Gカラーコードストリップ,G 색상 코드 스트립
_PathALCCB,Banda de acordes de color B,B-Farbakkordstreifen,Bカラーコードストリップ,B 색상 코드 스트립
_PathALCCA,Banda de acordes de color A,Ein Farbakkordstreifen,カラーコードストリップ,A 색상 코드 스트립
m_start_mirrorOptions,Visibilidad en espejo/cámara,Spiegel-/Kamera-Sichtbarkeit,ミラー/カメラの可視性,거울/카메라 가시성
_EnableMirrorOptions,Activar opciones de espejo,Spiegelungsoptionen aktivieren,ミラー オプションを有効にする,거울 옵션 활성화
_VisibilityMode,Modo,Modus,モード,모드
_Mirror,Visibilidad del espejo,Spiegelsicht,ミラーの可視性,거울 가시성
_VisibilityVRCRegular,Normal (Espejo exterior/Cámara),Normal (Außenspiegel/Kamera),ノーマル（アウトサイドミラー・カメラ）,일반 (외부 거울/카메라)
_VisibilityVRCMirrorVR,Espejo (Modo VR),Spiegel (VR),ミラー（VR）,거울 (VR)
_VisibilityVRCMirrorDesktop,Espejo (Modo escritorio),Spiegel (Desktop),ミラー (デスクトップ),거울 (데스크톱)
_VisibilityVRCCameraVR,Cámara (Modo VR),Kamera (VR),カメラ（VR）,카메라 (VR)
_VisibilityVRCCameraDesktop,Cámara (Modo escritorio),Kamera (Desktop),カメラ (デスクトップ),카메라 (데스크톱)
_VisibilityVRCCameraScreenshot,Captura de pantalla,Bildschirmfoto,スクリーンショット,스크린샷
_MirrorColor,Color en espejo,Spiegeltönungsfarbe,ミラーの色調整,거울 틴트 색상
_MirrorTexture,Textura en espejo,Spiegel-Textur,ミラー テクスチャ,거울 텍스처
_MirrorTexturePan,Barrido,Schwenken,パンニング,패닝
_MirrorTextureUV,UV,UV,UV,UV
_MirrorTextureBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_end_mirrorOptions,Visibilidad en espejo/cámara,Spiegel,ミラー,거울
m_start_depthFX,Efectos de profundidad,Tiefen-FX,深度FX,깊이 FX
_EnableTouchGlow,Activar efectos de profundidad,Tiefen-FX aktivieren,深度 FX を有効にする,깊이 FX 활성화
_DepthMask,Máscara,Maske,マスク,마스크
_DepthMaskPan,Barrido,Schwenken,パンニング,패닝
_DepthMaskUV,UV,UV,UV,UV
_DepthMaskChannel,Canal,Kanal,チャンネル,채널
_DepthMaskGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_DepthMaskGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DepthColorToggle,<size=13><b>Color y emisión </b></size>,<size=13><b>Farbe & Emission</b></size>,<size=13><b>色と発光</b></size>,<size=13><b>색상 & 방출</b></size>
_DepthColorBlendMode,Tipo de mezcla,Mischungstyp,ブレンドタイプ,블렌드 유형
_DepthTexture,Textura de profundidad,Tiefe Textur,深度テクスチャ,깊이 텍스처
_DepthTexturePan,Barrido,Schwenken,パンニング,패닝
_DepthTextureUV,UV,UV,UV,UV
_DepthColor,Color,Farbe,色,색상
_DepthEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_DepthColorMinDepth,Profundidad mínima,Mindesttiefe,最小深度,최소 깊이
_DepthColorMaxDepth,Profundidad máxima,Maximale Tiefe,最大深度,최대 깊이
_DepthColorMinValue,Color mínimo de mezcla,Min. Farbmischung,最小カラー ブレンド,최소 색상 블렌드
_DepthColorMaxValue,Color máximo de mezcla,Maximale Farbmischung,最大カラー ブレンド,최대 색상 블렌드
_DepthAlphaToggle,<size=13><b>Alfa </b></size>,<size=13><b>Alpha</b></size>,<size=13><b>アルファ</b></size>,<size=13><b>알파</b></size>
_DepthAlphaMinDepth,Profundidad mínima,Mindesttiefe,最小深度,최소 깊이
_DepthAlphaMaxDepth,Profundidad máxima,Maximale Tiefe,最大深度,최대 깊이
_DepthAlphaMinValue,Alfa mínimo,Min-Alpha,最小アルファ,최소 알파
_DepthAlphaMaxValue,Alfa máximo,MaxAlpha,最大アルファ,최대 알파
m_end_depthFX,Efectos de profundidad,Tiefen-FX,深度FX,깊이 FX
m_start_Iridescence,Iridiscencia,Irisieren,イリディセント,무지개빛
_EnableIridescence,Activar iridiscencia,Schillern aktivieren,虹色を有効にする,무지개빛 활성화
_IridescenceRamp,Rampa,Rampe,ランプ,램프
_IridescenceRampPan,Barrido de la rampa,Schwenken,パンニング,패닝
_IridescenceMask,Máscara,Maske,マスク,마스크
_IridescenceMaskPan,Barrido,Schwenken,パンニング,패닝
_IridescenceMaskUV,Máscara UV,UV-Maske,マスクUV,마스크 UV
_IridescenceMaskChannel,Canal,Kanal,チャンネル,채널
_IridescenceMaskGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_IridescenceMaskGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_IridescenceNormalToggle,Normales personalizadas,Benutzerdefinierte Normalen,カスタムノーマル(法線),커스텀 노멀(법선)
_IridescenceNormalMap,Mapa de normales,Normale Karte,ノーマルマップ (法線マップ),노멀맵 (법선맵)
_IridescenceNormalIntensity,Intensidad normal,Normale Intensität,ノーマルマップ(法線マップ)の強度,노멀맵(법선맵) 강도
_IridescenceNormalMapPan,Barrido,Schwenken,パンニング,패닝
_IridescenceNormalMapUV,UV,Normales UV,ノーマルマップ(法線マップ)のUV,노멀맵(법선맵) UV
_IridescenceNormalSelection,Seleccionar normales,Normale Auswahl,ノーマルマップ(法線マップ)の選択,노멀맵(법선맵) 선택
_IridescenceIntensity,Intensidad,Intensität,強度,강도
_IridescenceAddBlend,Agregar,Mischen Hinzufügen,ブレンド追加,블렌드 추가
_IridescenceReplaceBlend,Reemplazar,Mischung ersetzen,ブレンド置換,블렌드 교체
_IridescenceMultiplyBlend,Multiplicar,Multiplizieren mischen,ブレンド乗算,블렌드 곱하기
_IridescenceEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_IridescenceHueShiftEnabled,<size=13><b>Cambio de tono</b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_IridescenceHueShiftSpeed,Velocidad del cambio,Geschwindigkeit,スピード,속도
_IridescenceHueShift,Cambio de tono,Schicht,シフト,시프트
m_start_IridescenceAudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크♫
_IridescenceAudioLinkEmissionAddBand,Banda de emisión,Emissionsband,発光帯,발광 밴드
_IridescenceAudioLinkEmissionAdd,Modificador de emisión,Emissionsmod,発光モッド,발광 모드
m_end_IridescenceAudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_Iridescence,Iridiscencia,Irisieren,イリディセント,무지갯빛
m_start_Text,Superposición de estadísticas,Statistik-Overlay,統計情報のオーバーレイ表示,통계 정보 오버레이 표시
_TextEnabled,Activar texto,Text,文章,텍스트
_TextGlyphs,Glifos de textos,Font-Array,フォント配列,글꼴 배열
_TextPixelRange,Rango de píxeles,Pixelbereich,ピクセル範囲,픽셀 범위
m_start_TextFPS,Cuadros por segundo (FPS),FPS,FPS,FPS
_TextFPSEnabled,Activar texto (FPS),FPS-Text,FPS テキスト,FPS 텍스트
_TextFPSUV,UV,FPS-UV,FPS UV,FPS UV
_TextFPSColor,Color,Farbe,色,색상
_TextFPSEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_TextFPSOffset,Desplazamiento,Versatz,オフセット,오프셋
_TextFPSRotation,Rotación,Drehung,回転,회전
_TextFPSScale,Escala,Skala,規模,크기
_TextFPSPadding,Reducción del relleno,Reduzierung der Polsterung,パディング削減,패딩 감소
m_end_TextFPS,Cuadros por segundo (FPS),FPS,FPS,FPS
m_start_TextPosition,Posición,Position,位置,위치
_TextPositionEnabled,Activar texto de posición,Positionstext,位置テキスト,위치 텍스트
_TextPositionUV,UV,UV positionieren,UVの位置,UV 위치
_TextPositionColor,Color,Farbe,色,색상
_TextPositionEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_TextPositionOffset,Desplazamiento,Versatz,オフセット,오프셋
_TextPositionRotation,Rotación,Drehung,回転,회전
_TextPositionScale,Escala,Skala,規模,크기
_TextPositionPadding,Reducción del relleno,Reduzierung der Polsterung,パディング削減,패딩 감소
m_end_TextPosition,Posición,Position,位置,위치
m_start_TextInstanceTime,Tiempo en la estancia,Instanzzeit,インスタンス時間,인스턴스 시간
_TextTimeEnabled,Activar texto de tiempo,Zeittext,時間テキスト,시간 텍스트
_TextTimeUV,UV,Zeit UV,時間UV,시간 UV
_TextTimeColor,Color,Farbe,色,색상
_TextTimeEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_TextTimeOffset,Desplazamiento,Versatz,オフセット,오프셋
_TextTimeRotation,Rotación,Drehung,回転,회전
_TextTimeScale,Escala,Skala,規模,크기
_TextTimePadding,Reducción del relleno,Reduzierung der Polsterung,パディング削減,패딩 감소
m_end_TextInstanceTime,Tiempo en la estancia,Instanzzeit,インスタンス時間,인스턴스 시간
m_start_TextNumeric,Numérico (En progreso),Numerisch (WIP),数値 (見本),숫자 (WIP)
_TextNumericEnabled,Activar texto numérico,Numerischer Text,数値テキスト,숫자 텍스트
_TextNumericUV,UV,Numerischer UV,数値 UV,숫자 UV
_TextNumericColor,Color,Farbe,色,색상
_TextNumericValue,Valor de visualización,Anzeigewert,表示値,표시 값
_TextNumericWholeDigits,Dígitos enteros,Ganze Ziffern,整数,정수
_TextNumericDecimalDigits,Dígitos decimales,Dezimalziffern,10 進数,십진수
_TextNumericTrimZeroes,Eliminar los ceros iniciales,Trimmen Sie führende Nullen,先頭のゼロをトリム,앞쪽 0 자르기
_TextNumericEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_TextNumericOffset,Desplazamiento,Versatz,オフセット,오프셋
_TextNumericRotation,Rotación,Drehung,回転,회전
_TextNumericScale,Escala,Skala,規模,크기
_TextNumericPadding,Reducción del relleno,Reduzierung der Polsterung,パディングの削減,패딩 감소
m_end_TextNumeric,Numérico (En progreso),Numerisch,数値,숫자
m_end_Text,Superposición de estadísticas,MSDF-Textüberlagerung,MSDF テキスト オーバーレイ,MSDF 텍스트 오버레이
m_start_FXProximityColor,Color de proximidad,Nähe Farbe,カメラの距離に応じた変色,카메라 거리에 따른 색상 변경
_FXProximityColor,Activar,Aktivieren,有効,활성화
_FXProximityColorType,Posición a usar,Zu verwendende Position,使用する位置,사용할 위치
_FXProximityColorMinColor,Alfa de distancia mínima,Mindestabstand Alpha,最小距離アルファ,최소 거리 알파
_FXProximityColorMaxColor,Alfa de distancia máxima,Maximale Entfernung Alpha,最大距離アルファ,최대 거리 알파
_FXProximityColorMinDistance,Distancia mínima,Mindestabstand,最小距離,최소 거리
_FXProximityColorMaxDistance,Distancia máxima,Maximale Entfernung,最大距離,최대 거리
_FXProximityColorBackFace,Forzar el color de la cara trasera,Rückseitenfarbe erzwingen,背面の色を強制する,뒷면 색상 강제
m_start_internalparallax,Paralaje interno,Interne Parallaxe,内部視差,내부 시차
_PoiInternalParallax,Activar,Aktivieren,有効,활성화
_ParallaxInternalHeightmapMode,Modo de paralaje,Parallax-Modus,視差モード,시차 모드
_ParallaxInternalHeightFromAlpha,Altura según el alfa,HöheVonAlpha,高さをアルファから取得,알파에서 높이 가져오기
_ParallaxInternalMap,Mapa interno,Interne Karte,内部マップ,내부 맵
_ParallaxInternalMapPan,Barrido,Schwenken,パンニング,패닝
_ParallaxInternalMapMask,Máscara,Maske,マスク,마스크
_ParallaxInternalMapMaskPan,Barrido de la máscara,Schwenken,パンニング,패닝
_ParallaxInternalMapMaskUV,UV,UV,UV,UV
_ParallaxInternalMapMaskChannel,Canal,Kanal,チャンネル,채널
_ParallaxInternalIterations,Iteraciones internas de paralaje,Parallax Interne Iterationen,視差の内部反復,시차 내부 반복
_ParallaxInternalMinDepth,Profundidad mínima,Mindesttiefe,最小深度,최소 깊이
_ParallaxInternalMaxDepth,Profundidad máxima,Maximale Tiefe,最大深度,최대 깊이
_ParallaxInternalMinFade,Brillo mínimo de profundidad,Minimale Tiefenhelligkeit,最小深度の明るさ,최소 깊이 밝기
_ParallaxInternalMaxFade,Brillo máximo de profundidad,Maximale Tiefenhelligkeit,最大深度の明るさ,최대 깊이 밝기
_ParallaxInternalMinColor,Color de profundidad mínima,Min. Tiefenfarbe,最小深度カラー,최소 깊이 색상
_ParallaxInternalMaxColor,Color de profundidad máxima,Maximale Tiefenfarbe,最大深度カラー,최대 깊이 색상
_ParallaxInternalPanDepthSpeed,Multiplicador de velocidad por nivel,Geschwindigkeitsmultiplikator pro Level,レベルごとの速度乗数,레벨당 속도 배율
_ParallaxInternalHueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_ParallaxInternalHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_ParallaxInternalHueShiftSpeed,Velocidad del cambio,Farbtonverschiebungsgeschwindigkeit,ぼかしシフト速度,색조 시프트 속도
_ParallaxInternalHueShiftPerLevel,Cambio de tono por nivel,Farbtonverschiebung pro Stufe,レベルごとのぼかしシフト,레벨당 색조 시프트
m_end_internalparallax,Paralaje interno,Interne Parallaxe,内部視差,내부 시차
m_start_truchet,Teselado de Truchet,Truchet,トルシェット,트루셰
_EnableTruchet,Activar Truchet,Truet aktivieren,トルシェット を有効にする,트루셰 활성화
_TruchetUV,UV,UV,UV,UV
_TruchetShape,Forma,Form,形,모양
_TruchetDensity,Densidad,Dichte,密度,밀도
_TruchetThiccness,Grosor,Dicke,厚さ,두께
_TruchetColor,Color,Farbe,色,색상
_TruchetPan,Barrido,Pfad Panen,パス パン,경로 패닝
_TruchetTex,Textura,TruchetTexen,トルシェット Tex,트루셰 텍스처
_TruchetAlpha,Alfa,Alpha,アルファ,알파
_TruchetEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,발광 강도
_TruchetTexPan,Barrido de la textura,Schwenken,パンニング,패닝
m_start_videoEffects,Efectos de video,Videoeffekte,ビデオ効果,비디오 효과
_VideoEffectsEnable,Activar efectos de video,Aktivieren Sie VideoEffects,ビデオ効果 を有効にする,비디오 효과 활성화
_VideoType,Tipo de pantalla,Bildschirmtyp,スクリーンタイプ,화면 유형
_VideoBacklight,Retroiluminación,Helligkeit,明るさ,밝기
_VideoEmissionEnabled,Emisión activada,Emission aktiviert,発光を有効にする,발광 활성화
_VideoPixelTexture,Textura de píxeles,Pixel-Textur,ピクセル テクスチャ,픽셀 텍스처
_VideoPixelTextureUV,UV,UV,UV,UV
_VideoMaskTexture,Máscara,Maske,マスク,마스크
_VideoMaskTexturePan,Barrido,Schwenken,パンニング,패닝
_VideoMaskTextureUV,UV,UV,UV,UV
_VideoMaskTextureChannel,Canal,Kanal,チャンネル,채널
m_start_VideoSettings,Configuración de la textura del video,Videotextureinstellungen,ビデオ テクスチャの設定,비디오 텍스처 설정
_VideoResolution,Resolución,Auflösung,解像度,해상도
_VideoPixelateToResolution,Pixelar a la resolución,Auf Auflösung verpixeln,解像度へのピクセル化,해상도로 픽셀화
_VideoSaturation,Saturación,Sättigung,色調,채도
_VideoContrast,Mejora del contraste,Kontrastverstärkung,コントラストブースト,대비 강화
m_end_VideoSettings,Configuración de la textura del video,Videotextureinstellungen,ビデオ テクスチャの設定,비디오 텍스처 설정
m_start_CRT,Opciones de tubo de rayos catódicos (CRT),CRT-Optionen,ブラウン管オプション,CRT 옵션
_VideoCRTRefreshRate,Frecuencia de actualización,Aktualisierungsrate,リフレッシュレート,새로고침 빈도
_VideoCRTPixelEnergizedTime,Tiempo de desvanecimiento de píxeles,Pixel-Fade-Zeit,ピクセルフェードタイム,픽셀 페이드 시간
m_end_CRT,Opciones de tubo de rayos catódicos (CRT),CRT-Optionen,ブラウン管オプション,CRT 옵션
m_start_Gameboy,Opciones de Gameboy,Gameboy-Optionen,ゲームボーイオプション,게임보이 옵션
_VideoGameboyRamp,Rampa de color,Farbrampe,カラーランプ,컬러 램프
m_end_Gameboy,Opciones de Gameboy,Gameboy-Optionen,ゲームボーイオプション,게임보이 옵션
m_end_videoEffects,Efectos de video,Videoeffekte,ビデオ効果,비디오 효과
m_AudioLinkCategory,AudioLink,Audiolink,オーディオリンク,오디오링크
m_start_audioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
_EnableAudioLink,Activado,Ermöglicht,有効,활성화
_AudioLinkHelp,Esta sección contiene los controles generales para el AudioLink. Los controles para funciones individuales se encuentran en sus respectivas secciones. (Emisión/Disolución/etc...),Dieser Abschnitt enthält die globalen Steuerelemente für die Audioverbindung. Steuerelemente für einzelne Funktionen befinden sich in den jeweiligen Abschnitten. (Emission Dissolve Etc.),このセクションにはオーディオリンクのグローバルコントロールが配置されています。個々の機能のコントロールはそれぞれのセクションにあります（エミッションディゾルブなど）。,"이 섹션에는 오디오링크에 대한 전역 컨트롤이 포함되어 있습니다. 개별 기능에 대한 컨트롤은 각 섹션에 있습니다. (발광, 디졸브)"
_AudioLinkAnimToggle,Activar/desactivar animación,Animation umschalten,アニメーション切り替え,애니메이션 전환
m_end_audioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_start_ALDecalSpectrum,Espectro del AudioLink ♫,AL ♫ Spektrumen,オーディオリンク ♫ スペクトラム,오디오링크 ♫ 스펙트럼
_EnableALDecal,Activar la calcomanía,AL-Aufkleber aktivieren,AL デカールを有効にする,AL 데칼 활성화
_ALDecalType,Tipo de AL,AL-Typ,アルタイプ,AL 유형
_ALDecalUVMode,Modo UV,UV-Modus,UVモード,UV 모드
_ALDecalUV,UV,UV,UV,UV
_ALUVPosition,Posición,Position,位置,위치
_ALUVScale,Escala,Skala,規模,크기
_ALUVRotation,Rotación,Drehung,回転,회전
_ALUVRotationSpeed,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_ALDecalLineWidth,Ancho de línea,Linienbreite,線幅,선 너비
_ALDecaldCircleDimensions,Mediciones circulares,Kreisabmessungen,サークル寸法,원 치수
_ALDecalVolumeStep,Número de paso de volumen (0 = apagado),Lautstärkeschrittnummer (0 = Aus),音量ステップ番号 (0 = オフ),볼륨 단계 번호 (0 = 꺼짐)
_ALDecalVolumeClipMin,Límite de volumen mínimo,Lautstärke Clip Min,ボリューム クリップ 最小値,볼륨 클립 최소값
_ALDecalVolumeClipMax,Límite de volumen máximo,Lautstärke Clip max,ボリューム クリップ 最大値,볼륨 클립 최대값
_ALDecalBandStep,Número de paso de banda (0 = apagado),Bandschrittnummer (0 = Aus),帯域ステップ番号 (0 = オフ),밴드 단계 번호 (0 = 꺼짐)
_ALDecalBandClipMin,Límite de banda mínimo,Bandclip Min,バンド クリップ 最小値,밴드 클립 최소값
_ALDecalBandClipMax,Límite de banda máximo,Bandclip max,バンド クリップ 最大値,밴드 클립 최대값
_ALDecalShapeClip,<size=13><b>Recorte de forma </b></size>,<size=13><b>Formclip</b></size>,<size=13><b>シェイプ クリップ</b></size>,<size=13><b>모양 클립</b></size>
_ALDecalShapeClipVolumeWidth,Ancho del volumen,Volumenbreite,ボリューム幅,볼륨 너비
_ALDecalShapeClipBandWidth,Ancho de la banda,Bandbreite,バンド幅,밴드 너비
_ALDecalVolume,Volumen,Volumen,音量,볼륨
_ALDecalBaseBoost,Aumento de los graves,Bass-Boost,バスブースト,베이스 부스트
_ALDecalTrebleBoost,Aumento de los agudos,Höhenverstärkung,トレブルブースト,고음 부스트
_ALDecalColorMask,Color y máscara,Farbe & Maske,カラー＆マスク,색상 & 마스크
_ALDecalColorMaskPan,Barrido,Schwenken,パンニング,패닝
_ALDecalColorMaskUV,UV,UV,UV,UV
_ALDecalVolumeColorSource,Fuente,Quelle,ソース,소스
_ALDecalVolumeColorLow,Color del volumen bajo,Lautstärke Farbe Niedrig,ボリューム カラー 低,볼륨 색상 낮음
_ALDecalLowEmission,Emisión del volumen bajo,Niedrige Emissionen,発光 低,발광 낮음
_ALDecalVolumeColorMid,Color del volumen medio,Volumen Farbe Mittel,ボリューム カラー 中,볼륨 색상 중간
_ALDecalMidEmission,Emisión del volumen medio,Mittlere Emission,発光 中,발광 중간
_ALDecalVolumeColorHigh,Color del volumen alto,Volumen Farbe Hoch,ボリューム カラー 高,볼륨 색상 높음
_ALDecalHighEmission,Emisión del volumen alto,Hohe Emission,発光 高,발광 높음
_ALDecalBlendType,Tipo de mezcla,Mischungstyp,ブレンドタイプ,블렌드 유형
_ALDecalBlendAlpha,Alfa,Alpha,アルファ,알파
_ALDecalControlsAlpha,Anular alfa,Alpha überschreiben,アルファをオーバーライド,알파 덮어쓰기
m_end_ALDecalSpectrum,Espectro del AudioLink ♫,AL ♫ Spektrumen,オーディオリンク ♫ スペクトラム,오디오링크 ♫ 스펙트럼
m_modifierCategory,Modificadores,Modifikatoren,モーディファイアー,수정자
m_start_Stochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_StochasticMode,Modo de muestreo,Sampling-Modus,サンプリングモード,샘플링 모드
g_start_deliot,Deliot Heitz,Deliot Heitzde,デリオット・ハイツ,델리오트 하이츠
_StochasticDeliotHeitzDensity,Densidad,Detilierungsdichte,ディテール密度,디테일 밀도
g_end_deliot,Deliot Heitz,Deliot Heitzde,デリオット・ハイツ,델리오트 하이츠
g_start_hextile,Teselas hexagonales (Hextil),Hextil,ヘクタイル,헥스타일
_StochasticHexGridDensity,Densidad de cuadrícula hexadecimal,Hex-Gitterdichte,16 進グリッド密度,16진 그리드 밀도
_StochasticHexRotationStrength,Intensidad de rotación,Rotationsstärke,回転強度,회전 강도
_StochasticHexFallOffContrast,Contraste de atenuación,Falloff-Kontrast,減衰コントラスト,감쇠 대비
_StochasticHexFallOffPower,Potencia de atenuación,Falloff-Leistung,減衰力,감쇠력
g_end_hextile,Teselas hexagonales (Hextil),Hextil,ヘクタイル,헥스타일
m_end_Stochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
